"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Bad Practice Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Correctness Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Dodgy Code Rules","Empty Code Rules","Experimental Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","Internationalization Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Multithreaded Correctness Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L122","AppenderTable","AppenderTable","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\CekiGulcu\AppenderTable.java","61","1","173","2","0.169492","1","1","1","0.0973451","0.0972222","11","7","1","1","1","5","6","1","1","6","9","0.5","0.358974","28","26","2","2","0.327103","35","0","0","0","0","0","50","86","1","0","1","0","3","0","3","0","3","30","0","3","0","72","113","2","1","2","1","5","0","5","0","5","37","0","5","0","0","0","21","3","7","0","0","0","0","0","8","0","0","0","0","3","0","0","0","1","12","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","2","0","0","1","0","0","0","0","0"
"L166","AppenderTableModel","AppenderTableModel","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\CekiGulcu\AppenderTable.java","175","1","221","2","0","0","0","0","0","0","0","0","1","0","0","5","2","1","2","4","9","0.8","0.463415","19","19","4","1","0.463415","19","0","0","0","0","0","22","47","1","3","1","3","5","0","4","0","5","6","0","4","0","22","47","1","3","1","3","5","0","4","0","5","6","0","4","0","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L203","JTableAddAction","JTableAddAction","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\CekiGulcu\AppenderTable.java","228","1","245","2","0","0","0","0","0","0","0","0","1","0","0","2","4","1","1","3","5","0.333333","0.2","4","4","1","2","0.2","4","0","0","0","0","0","16","18","3","0","3","0","2","0","2","0","2","4","0","2","0","16","18","3","0","3","0","2","0","2","0","2","4","0","2","0","0","0","7","0","6","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"L335","JMSQueueAppender","JMSQueueAppender","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\Jamie Tsao\JMSQueueAppender.java","38","1","241","2","0.160494","1","5","1","0.0931373","0.13913","19","16","2","3","2","27","5","0","0","6","21","0.857143","0.319527","54","51","12","2","0.319527","54","2","3","0","0","1","115","204","15","11","8","5","15","0","13","4","33","58","0","29","8","115","204","15","11","8","5","15","0","13","4","33","58","0","29","8","0","0","23","4","15","0","0","0","3","0","10","0","1","0","0","5","0","0","0","1","11","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","1","3","0","0","0","0"
"L440","LoggingOutputStream","LoggingOutputStream","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\JimMoore\LoggingOutputStream.java","40","1","209","2","0","0","0","0","0","0","0","0","1","2","2","17","2","0","0","1","7","1","0.564935","87","79","5","0","0.564935","87","0","0","0","0","0","67","170","8","0","8","0","6","1","4","0","6","34","1","4","0","67","170","8","0","8","0","6","1","4","0","6","34","1","4","0","0","0","5","0","3","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","5","0","0","0","0","0"
"L520","Log4JTest","Log4JTest","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\ThomasFenner\code_example1.java","25","1","52","2","0.846154","1","2","1","0.785714","0.833333","22","15","1","1","1","2","3","0","0","7","8","0","0.24","6","1","0","2","0.24","6","0","0","0","0","0","19","28","1","0","1","0","1","0","1","0","1","9","0","1","0","19","28","1","0","1","0","1","0","1","0","1","9","0","1","0","0","1","15","1","3","0","0","1","0","0","12","0","0","0","0","1","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
"L556","Log4JTest","Log4JTest","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\ThomasFenner\code_example2.java","25","1","88","2","0","0","0","0","0","0","0","0","1","1","1","2","3","0","0","7","8","0","0.392157","20","1","0","3","0.392157","20","0","0","0","0","0","31","64","1","0","1","0","1","0","1","0","1","21","0","1","0","31","64","1","0","1","0","1","0","1","0","1","21","0","1","0","0","1","1","2","3","0","0","1","0","0","0","0","0","0","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","0","0","0"
"L573","MyConnectionHandler","MyConnectionHandler","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\ThomasFenner\code_example2.java","91","1","116","2","0.651515","1","3","1","0.461538","0.52381","12","11","0","2","2","5","0","0","0","0","2","0.333333","0.0833333","2","2","1","2","0.0833333","2","0","0","0","0","0","22","26","4","2","4","2","2","0","2","0","2","7","0","2","0","22","26","4","2","4","2","2","0","2","0","2","7","0","2","0","0","1","18","1","10","0","0","1","1","0","11","0","0","0","0","4","0","0","0","0","7","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","0","1","0","0","0","0"
"L563","MyIDHandler","MyIDHandler","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\ThomasFenner\code_example2.java","120","1","128","2","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0.5","0.111111","1","1","1","1","0.111111","1","0","0","0","0","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","8","9","1","1","1","1","1","0","1","0","1","1","0","1","0","0","0","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0"
"L611","Log4JTest","Log4JTest","L104","L103","D:\Development\SourceMeter-7.0.2-x64-windows\Java\Demo\apache-log4j-1.2.17\contribs\ThomasFenner\Log4JTest.java","130","1","157","2","0.846154","1","2","1","0.785714","0.833333","22","15","1","1","1","2","3","0","0","7","8","0","0.24","6","1","0","3","0.24","6","0","0","0","0","0","19","28","1","0","1","0","1","0","1","0","1","9","0","1","0","19","28","1","0","1","0","1","0","1","0","1","9","0","1","0","0","1","15","1","3","0","0","1","0","0","12","0","0","0","0","1","0","0","0","1","3","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0"
